model,effect,metric,value,n
nam_mlp_conc_0.1,y,mspe,1.0156513452529907,1600
nam_mlp_conc_0.1,y,bias2,1.0026092529296875,1600
nam_mlp_conc_0.1,y,var,0.013042121194303036,1600
nam_mlp_conc_0.1,fx,mspe,0.015441417694091797,1600
nam_mlp_conc_0.1,fx,bias2,0.004389726556837559,1600
nam_mlp_conc_0.1,fx,var,0.011051692999899387,1600
nam_mlp_conc_0.1,fr,mspe,0.020501909777522087,1600
nam_mlp_conc_0.1,fr,bias2,0.00945021491497755,1600
nam_mlp_conc_0.1,fr,var,0.011051692999899387,1600
nam_mlp_conc_0.1,fz,mspe,0.007167954463511705,1600
nam_mlp_conc_0.1,fz,bias2,0.0011587062617763877,1600
nam_mlp_conc_0.1,fz,var,0.006009248085319996,1600
nam_mlp_conc_1,y,mspe,1.0140316486358643,1600
nam_mlp_conc_1,y,bias2,1.0026694536209106,1600
nam_mlp_conc_1,y,var,0.01136215403676033,1600
nam_mlp_conc_1,fx,mspe,0.029801461845636368,1600
nam_mlp_conc_1,fx,bias2,0.023019133135676384,1600
nam_mlp_conc_1,fx,var,0.006782330106943846,1600
nam_mlp_conc_1,fr,mspe,0.01596733368933201,1600
nam_mlp_conc_1,fr,bias2,0.009185003116726875,1600
nam_mlp_conc_1,fr,var,0.006782330106943846,1600
nam_mlp_conc_1,fz,mspe,0.018850231543183327,1600
nam_mlp_conc_1,fz,bias2,0.014552273787558079,1600
nam_mlp_conc_1,fz,var,0.004297958221286535,1600
cfnet_0.5,y,mspe,1.1272350549697876,1600
cfnet_0.5,y,bias2,1.0826658010482788,1600
cfnet_0.5,y,var,0.044569309800863266,1600
cfnet_0.5,fx,mspe,0.03812074288725853,1600
cfnet_0.5,fx,bias2,0.010740888305008411,1600
cfnet_0.5,fx,var,0.027379851788282394,1600
cfnet_0.5,fr,mspe,0.06954757124185562,1600
cfnet_0.5,fr,bias2,0.04216771945357323,1600
cfnet_0.5,fr,var,0.027379851788282394,1600
cfnet_0.5,fz,mspe,0.07795459032058716,1600
cfnet_0.5,fz,bias2,0.07795459032058716,1600
cfnet_0.5,fz,var,0.0,1600
cfnet_1,y,mspe,1.1274548768997192,1600
cfnet_1,y,bias2,1.0822935104370117,1600
cfnet_1,y,var,0.04516146332025528,1600
cfnet_1,fx,mspe,0.03657399117946625,1600
cfnet_1,fx,bias2,0.00719145592302084,1600
cfnet_1,fx,var,0.029382534325122833,1600
cfnet_1,fr,mspe,0.06548477709293365,1600
cfnet_1,fr,bias2,0.03610224276781082,1600
cfnet_1,fr,var,0.029382534325122833,1600
cfnet_1,fz,mspe,0.07795459032058716,1600
cfnet_1,fz,bias2,0.07795459032058716,1600
cfnet_1,fz,var,0.0,1600
cfnet_5,y,mspe,1.1156666278839111,1600
cfnet_5,y,bias2,1.07854425907135,1600
cfnet_5,y,var,0.03712238743901253,1600
cfnet_5,fx,mspe,0.036550477147102356,1600
cfnet_5,fx,bias2,0.010102728381752968,1600
cfnet_5,fx,var,0.026447748765349388,1600
cfnet_5,fr,mspe,0.07024140655994415,1600
cfnet_5,fr,bias2,0.04379364848136902,1600
cfnet_5,fr,var,0.026447748765349388,1600
cfnet_5,fz,mspe,0.07795459032058716,1600
cfnet_5,fz,bias2,0.07795459032058716,1600
cfnet_5,fz,var,0.0,1600
circe_1,y,mspe,1.1253564357757568,1600
circe_1,y,bias2,1.095163106918335,1600
circe_1,y,var,0.030193274840712547,1600
circe_1,fx,mspe,0.045483727008104324,1600
circe_1,fx,bias2,0.017187567427754402,1600
circe_1,fx,var,0.02829616330564022,1600
circe_1,fr,mspe,0.0726761445403099,1600
circe_1,fr,bias2,0.044379979372024536,1600
circe_1,fr,var,0.02829616330564022,1600
circe_1,fz,mspe,0.07795459032058716,1600
circe_1,fz,bias2,0.07795459032058716,1600
circe_1,fz,var,0.0,1600
circe_10,y,mspe,1.2500407695770264,1600
circe_10,y,bias2,1.2408779859542847,1600
circe_10,y,var,0.009162642993032932,1600
circe_10,fx,mspe,0.10441241413354874,1600
