model,effect,metric,value,n,q
refit,y,bias2,1.008377194404602,1600,4
refit,y,var,0.005555667914450169,1600,4
refit,fx,mspe,0.008328226394951344,1600,4
refit,fx,bias2,0.003479256061837077,1600,4
refit,fx,var,0.004848971497267485,1600,4
refit,fr,mspe,0.0348920114338398,1600,4
refit,fr,bias2,0.030043037608265877,1600,4
refit,fr,var,0.004848971497267485,1600,4
refit,fz,mspe,0.003009137697517872,1600,4
refit,fz,bias2,0.0004907311522401869,1600,4
refit,fz,var,0.002518406603485346,1600,4
refit_orth,y,mspe,1.0139381885528564,1600,4
refit_orth,y,bias2,1.0083823204040527,1600,4
refit_orth,y,var,0.005555957090109587,1600,4
refit_orth,fx,mspe,0.026408081874251366,1600,4
refit_orth,fx,bias2,0.022825663909316063,1600,4
refit_orth,fx,var,0.0035824172664433718,1600,4
refit_orth,fr,mspe,0.006421050056815147,1600,4
refit_orth,fr,bias2,0.002838632557541132,1600,4
refit_orth,fr,var,0.0035824172664433718,1600,4
refit_orth,fz,mspe,0.022188810631632805,1600,4
refit_orth,fz,bias2,0.020903052762150764,1600,4
refit_orth,fz,var,0.0012857590336352587,1600,4
refit,y,mspe,1.0122570991516113,1600,512
refit,y,bias2,1.0059260129928589,1600,512
refit,y,var,0.006331080105155706,1600,512
refit,fx,mspe,0.007821999490261078,1600,512
refit,fx,bias2,0.0024356034118682146,1600,512
refit,fx,var,0.005386396776884794,1600,512
refit,fr,mspe,0.03181512653827667,1600,512
refit,fr,bias2,0.02642873302102089,1600,512
refit,fr,var,0.005386396776884794,1600,512
refit,fz,mspe,0.0024521935265511274,1600,512
refit,fz,bias2,0.00017873261822387576,1600,512
refit,fz,var,0.0022734608501195908,1600,512
refit_orth,y,mspe,1.012256145477295,1600,512
refit_orth,y,bias2,1.0059244632720947,1600,512
refit_orth,y,var,0.006331722717732191,1600,512
refit_orth,fx,mspe,0.026680417358875275,1600,512
refit_orth,fx,bias2,0.022279761731624603,1600,512
refit_orth,fx,var,0.004400657024234533,1600,512
refit_orth,fr,mspe,0.006580312270671129,1600,512
refit_orth,fr,bias2,0.0021796557120978832,1600,512
refit_orth,fr,var,0.004400657024234533,1600,512
refit_orth,fz,mspe,0.022188816219568253,1600,512
refit_orth,fz,bias2,0.020903058350086212,1600,512
refit_orth,fz,var,0.0012857599649578333,1600,512
refit,y,mspe,1.0124239921569824,1600,64
refit,y,bias2,1.0062973499298096,1600,64
