model,effect,metric,value,a,n
base,y,mspe,1.052075982093811,1.0,12800
base,y,bias2,1.050003170967102,1.0,12800
base,y,var,0.002072870032861829,1.0,12800
base,fx,mspe,0.048287283629179,1.0,12800
base,fx,bias2,0.04680609703063965,1.0,12800
base,fx,var,0.0014811888104304671,1.0,12800
base,fr,mspe,0.11638209968805313,1.0,12800
base,fr,bias2,0.11490092426538467,1.0,12800
base,fr,var,0.0014811888104304671,1.0,12800
base,fz,mspe,0.07795459032058716,1.0,12800
base,fz,bias2,0.07795459032058716,1.0,12800
base,fz,var,0.0,1.0,12800
posthoc_web,y,mspe,1.0521893501281738,1.0,12800
posthoc_web,y,bias2,1.0500905513763428,1.0,12800
posthoc_web,y,var,0.0020988606847822666,1.0,12800
posthoc_web,fx,mspe,0.04831269383430481,1.0,12800
posthoc_web,fx,bias2,0.0468045249581337,1.0,12800
posthoc_web,fx,var,0.0015081685269251466,1.0,12800
posthoc_web,fr,mspe,0.11640194058418274,1.0,12800
posthoc_web,fr,bias2,0.11489377170801163,1.0,12800
posthoc_web,fr,var,0.0015081685269251466,1.0,12800
