method,N,seed,mspe_y,mspe_fx,mspe_fz,corr_fx_z,b_z_hat,val_loss
oracle_ovb,200,1,1.0694231986999512,0.2742975652217865,0.08104897290468216,0.746539311252096,nan,nan
oracle_ovb,200,8,0.9949895739555359,0.09500680863857269,0.08104897290468216,0.670801598763017,nan,nan
oracle_ovb,200,9,0.9754503965377808,0.1151592954993248,0.08104897290468216,0.7237066348485772,nan,nan
oracle_ovb,200,6,0.9855625629425049,0.1199255958199501,0.08104897290468216,0.7561121100806947,nan,nan
oracle_ovb,200,4,0.983627438545227,0.09415701031684875,0.08104897290468216,0.7627356720589662,nan,nan
oracle_ovb,200,7,1.0081571340560913,0.19477757811546326,0.08104897290468216,0.7898821871111517,nan,nan
oracle_ovb,400,2,0.9932117462158203,0.10609713941812515,0.08104897290468216,0.7422665304878875,nan,nan
oracle_ovb,400,0,0.9903598427772522,0.05890867859125137,0.08104897290468216,0.6482841898967925,nan,nan
oracle_ovb,400,4,0.9753335118293762,0.07064317166805267,0.08104897290468216,0.6506445619028842,nan,nan
oracle_ovb,400,3,0.974258542060852,0.08068344742059708,0.08104897290468216,0.7081737526730594,nan,nan
oracle_ovb,400,5,0.9688888192176819,0.07504735887050629,0.08104897290468216,0.6538822840771029,nan,nan
oracle_ovb,400,9,0.9690654873847961,0.0833771750330925,0.08104897290468216,0.670898560640335,nan,nan
oracle_ovb,400,1,0.9702426195144653,0.08846946805715561,0.08104897290468216,0.6627415165485897,nan,nan
oracle_ovb,400,7,0.9920248985290527,0.12312767654657364,0.08104897290468216,0.76789004512231,nan,nan
oracle_ovb,400,6,0.971415102481842,0.05746913328766823,0.08104897290468216,0.6161441451376332,nan,nan
oracle_ovb,400,8,0.9811669588088989,0.07874426245689392,0.08104897290468216,0.6994314123359653,nan,nan
oracle_ovb,800,0,0.9789764881134033,0.08755432814359665,0.08104897290468216,0.7488707536133233,nan,nan
oracle_ovb,800,3,0.97683185338974,0.08271705359220505,0.08104897290468216,0.7062341675100627,nan,nan
oracle_ovb,800,2,0.9747806191444397,0.04731423035264015,0.08104897290468216,0.6435167875656118,nan,nan
oracle_ovb,800,8,0.9726773500442505,0.08506837487220764,0.08104897290468216,0.6996612815953217,nan,nan
oracle_ovb,800,1,0.9772358536720276,0.07507874071598053,0.08104897290468216,0.7373399892684224,nan,nan
oracle_ovb,800,7,0.968853235244751,0.06920074671506882,0.08104897290468216,0.6698763364026686,nan,nan
oracle_ovb,800,5,0.9744920134544373,0.06259995698928833,0.08104897290468216,0.6952066488198396,nan,nan
oracle_ovb,800,4,0.9693956971168518,0.07386142760515213,0.08104897290468216,0.675336293282069,nan,nan
oracle_ovb,800,6,0.971547544002533,0.05108010768890381,0.08104897290468216,0.628050343895577,nan,nan
oracle_ovb,800,9,0.9712070822715759,0.08816619217395782,0.08104897290468216,0.6592241461594424,nan,nan
oracle_ovb,1600,1,0.9763103127479553,0.0761646181344986,0.08104897290468216,0.7371482056738348,nan,nan
oracle_ovb,1600,0,0.9767751693725586,0.07706243544816971,0.08104897290468216,0.7325766789881519,nan,nan
oracle_ovb,1600,2,0.9847341179847717,0.07792588323354721,0.08104897290468216,0.7625073823257464,nan,nan
oracle_ovb,1600,3,0.9754322171211243,0.09217654168605804,0.08104897290468216,0.7294081726680848,nan,nan
oracle_ovb,1600,6,0.9727693200111389,0.07335695624351501,0.08104897290468216,0.6925696121231143,nan,nan
oracle_ovb,1600,8,0.9728611707687378,0.05606433376669884,0.08104897290468216,0.6806952498770173,nan,nan
oracle_ovb,1600,5,0.9761353135108948,0.08498311787843704,0.08104897290468216,0.7343182167697774,nan,nan
oracle_ovb,1600,9,0.9733471870422363,0.08063723146915436,0.08104897290468216,0.7297652265754593,nan,nan
oracle_ovb,1600,7,0.9767357707023621,0.07897788286209106,0.08104897290468216,0.727162223237406,nan,nan
oracle_ovb,1600,4,0.9696025252342224,0.0870198905467987,0.08104897290468216,0.6899119664538952,nan,nan
oracle_ovb,3200,0,0.9723739624023438,0.08225797861814499,0.08104897290468216,0.7042186236778568,nan,nan
oracle_ovb,3200,2,0.975163996219635,0.09330088645219803,0.08104897290468216,0.7405099947172987,nan,nan
