n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.8,1,128,posthoc_web,y,mspe,1.2156374,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,y,bias2,1.2131468,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,y,var,0.0024906876,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fx,mspe,0.026003513,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fx,bias2,0.024167463,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fx,var,0.0018360481,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fz,var,0.0,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fr,mspe,0.006310816,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fr,bias2,0.004474767,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_web,fr,var,0.0018360481,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,16,base,y,mspe,1.020253,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,base,y,bias2,1.0175548,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
