setting,sim_id,method,mspe_fx,mspe_fr,mspe_y,mean_fx_hat,var_fx_hat,n_total,outcome_type,q,bz,cv1
fig3_binary,3,base_half,0.04024449735879898,0.1119183897972107,0.24136413633823395,0.029322251677513123,0.23922458291053772,1600,binary,32,1.0,0.8
fig3_binary,3,posthoc,0.07609132677316666,0.14752109348773956,0.23909598588943481,-0.030094830319285393,0.12957173585891724,1600,binary,32,1.0,0.8
fig3_binary,3,posthoc_same_sample,0.027447864413261414,0.08110976219177246,0.23890571296215057,0.018549341708421707,0.1263778805732727,1600,binary,32,1.0,0.8
fig3_binary,4,base_full,0.08719104528427124,0.1772245466709137,0.23950263857841492,-0.015976184979081154,0.2860362231731415,1600,binary,32,1.0,0.8
fig3_binary,4,base_half,0.08111479133367538,0.16502365469932556,0.23817043006420135,-0.008265327662229538,0.21374481916427612,1600,binary,32,1.0,0.8
fig3_binary,4,posthoc,0.22192791104316711,0.3646034300327301,0.24405962228775024,0.005839693360030651,0.5386455655097961,1600,binary,32,1.0,0.8
fig3_binary,4,posthoc_same_sample,0.057616084814071655,0.13085131347179413,0.23952244222164154,-0.010667593218386173,0.23119552433490753,1600,binary,32,1.0,0.8
fig3_binary,5,base_full,0.03952239081263542,0.10934268683195114,0.24113240838050842,0.021845508366823196,0.18724456429481506,1600,binary,32,1.0,0.8
fig3_binary,5,base_half,0.03808024525642395,0.1017083004117012,0.24279844760894775,-0.00041421412606723607,0.14460231363773346,1600,binary,32,1.0,0.8
fig3_binary,5,posthoc,0.026196494698524475,0.07197204232215881,0.2404915988445282,0.04672276973724365,0.1013898104429245,1600,binary,32,1.0,0.8
fig3_binary,5,posthoc_same_sample,0.015257913619279861,0.006604057736694813,0.24233554303646088,0.004313781391829252,0.09682366997003555,1600,binary,32,1.0,0.8
fig3_binary,6,base_full,0.13384036719799042,0.2522662878036499,0.24053813517093658,-0.004731557331979275,0.3650226593017578,1600,binary,32,1.0,0.8
fig3_binary,6,base_half,0.11729158461093903,0.22459322214126587,0.24169626832008362,-0.008188239298760891,0.39101341366767883,1600,binary,32,1.0,0.8
fig3_binary,6,posthoc,0.038372792303562164,0.10902354121208191,0.23972152173519135,0.011619960889220238,0.21125482022762299,1600,binary,32,1.0,0.8
fig3_binary,6,posthoc_same_sample,0.04786233976483345,0.12595586478710175,0.23972992599010468,-0.0007451248238794506,0.21273189783096313,1600,binary,32,1.0,0.8
fig3_binary,7,base_full,0.06668438017368317,0.15502431988716125,0.23816952109336853,0.0034495354630053043,0.23957368731498718,1600,binary,32,1.0,0.8
fig3_binary,7,base_half,0.10152696818113327,0.20678532123565674,0.23867078125476837,0.02778664603829384,0.3045118451118469,1600,binary,32,1.0,0.8
fig3_binary,7,posthoc,0.03925225883722305,0.10665147751569748,0.23770660161972046,0.0011266607325524092,0.1532684713602066,1600,binary,32,1.0,0.8
fig3_binary,7,posthoc_same_sample,0.07001528143882751,0.16003181040287018,0.23802749812602997,0.003511735238134861,0.2426888346672058,1600,binary,32,1.0,0.8
fig3_binary,8,base_full,0.14699576795101166,0.2503727674484253,0.23842701315879822,0.008939544670283794,0.22834043204784393,1600,binary,32,1.0,0.8
fig3_binary,8,base_half,0.167023703455925,0.28012287616729736,0.2382592409849167,0.028975145891308784,0.2563733756542206,1600,binary,32,1.0,0.8
fig3_binary,8,posthoc,0.1442946195602417,0.25090473890304565,0.24366754293441772,-0.03356534615159035,0.23569458723068237,1600,binary,32,1.0,0.8
fig3_binary,8,posthoc_same_sample,0.08202726393938065,0.1380973756313324,0.23801544308662415,0.004015299025923014,0.11658071726560593,1600,binary,32,1.0,0.8
fig3_binary,9,base_full,0.09608907997608185,0.19341549277305603,0.2418476939201355,-0.002384766237810254,0.3374403417110443,1600,binary,32,1.0,0.8
fig3_binary,9,base_half,0.11124610155820847,0.21351976692676544,0.24230147898197174,-0.023612840101122856,0.37265655398368835,1600,binary,32,1.0,0.8
fig3_binary,9,posthoc,0.02626877836883068,0.08283045142889023,0.24012699723243713,0.017306141555309296,0.15708450973033905,1600,binary,32,1.0,0.8
fig3_binary,9,posthoc_same_sample,0.06751075387001038,0.14605724811553955,0.24248775839805603,0.006239979062229395,0.2902330756187439,1600,binary,32,1.0,0.8
fig4a_q4,0,base_full,0.07629870623350143,0.16880258917808533,1.0233877897262573,0.011053642258048058,0.25993672013282776,1600,continuous,4,1.0,0.8
fig4a_q4,0,base_half,0.09693560004234314,0.1948305070400238,1.0367352962493896,0.023837624117732048,0.32306089997291565,1600,continuous,4,1.0,0.8
fig4a_q4,0,posthoc,0.009699758142232895,0.030351676046848297,1.0236800909042358,0.02127453126013279,0.11522651463747025,1600,continuous,4,1.0,0.8
fig4a_q4,0,posthoc_same_sample,0.061136916279792786,0.14473429322242737,1.0311001539230347,0.014187157154083252,0.25834545493125916,1600,continuous,4,1.0,0.8
fig4a_q4,1,base_full,0.11184144765138626,0.2183506339788437,1.0266929864883423,0.014265800826251507,0.3013288080692291,1600,continuous,4,1.0,0.8
